,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
59,1,240,0.0037477612495422363,0.0012984277719506473,0.00099945068359375,3.769728732309794e-07,1,,linear,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.9333333333333333,0.9152542372881356,0.8983050847457628,0.8813559322033898,0.9070621468926553,0.019331200125339693,33,1.0,1.0,1.0,1.0,1.0,0.0
60,1,240,0.0034981369972229004,0.0004994274395037581,0.000999152660369873,3.5262583393452264e-07,1,,linear,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'linear'}",0.9333333333333333,0.9152542372881356,0.8983050847457628,0.8813559322033898,0.9070621468926553,0.019331200125339693,33,1.0,1.0,1.0,1.0,1.0,0.0
61,1,240,0.0029978156089782715,9.443151663395678e-07,0.0009993910789489746,4.5783196376971053e-07,10,,linear,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",0.9333333333333333,0.9152542372881356,0.8983050847457628,0.8813559322033898,0.9070621468926553,0.019331200125339693,33,1.0,1.0,1.0,1.0,1.0,0.0
62,1,240,0.0032482147216796875,0.00043470209700360006,0.0009992122650146484,1.2502775766493696e-06,100,5,linear,,"{'C': 100, 'degree': 5, 'kernel': 'linear'}",0.9333333333333333,0.9152542372881356,0.8983050847457628,0.8813559322033898,0.9070621468926553,0.019331200125339693,33,1.0,1.0,1.0,1.0,1.0,0.0
57,1,240,0.0029982328414916992,1.278377210469676e-06,0.001500546932220459,0.0004996667681272369,1000,4,linear,,"{'C': 1000, 'degree': 4, 'kernel': 'linear'}",0.9333333333333333,0.9152542372881356,0.8983050847457628,0.8813559322033898,0.9070621468926553,0.019331200125339693,33,1.0,1.0,1.0,1.0,1.0,0.0
63,1,240,0.0037474632263183594,0.00043291279831916406,0.0009995698928833008,4.915124923727108e-07,1000,4,sigmoid,0.0001,"{'C': 1000, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9333333333333333,0.8983050847457628,0.8983050847457628,0.864406779661017,0.8985875706214689,0.02437085397381085,48,1.0,1.0,1.0,1.0,1.0,0.0
32,0,80,0.0014989376068115234,0.0004992487608190278,0.0007494091987609863,0.00043267189823765925,10,3,sigmoid,0.0001,"{'C': 10, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.8,0.7894736842105263,1.0,0.8947368421052632,0.8710526315789474,0.08498818558923758,49,0.9830508474576272,0.9666666666666667,1.0,0.9666666666666667,0.9790960451977402,0.013798502533129734
35,0,80,0.0017495155334472656,0.0008294917304361831,0.0007495880126953125,0.0004327772379761799,10,4,sigmoid,0.0001,"{'C': 10, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.8,0.7894736842105263,1.0,0.8947368421052632,0.8710526315789474,0.08498818558923758,49,0.9830508474576272,0.9666666666666667,1.0,0.9666666666666667,0.9790960451977402,0.013798502533129734
12,0,80,0.0044822096824646,0.004895186851450181,0.0004992485046386719,0.0004992487608190278,1,,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.75,0.7368421052631579,1.0,0.8421052631578947,0.8322368421052632,0.10500585328626558,51,1.0,1.0,1.0,1.0,1.0,0.0
40,0,80,0.001999199390411377,0.000706128684842653,0.00024956464767456055,0.0004322586495453649,100,4,sigmoid,0.001,"{'C': 100, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.5,0.47368421052631576,0.7894736842105263,0.6842105263157895,0.6118421052631579,0.13075399285757758,52,0.6949152542372882,0.5833333333333334,0.7833333333333333,0.6833333333333333,0.686228813559322,0.07088830240044737
37,0,80,0.0012490153312683105,0.00043267262081415187,0.0007491707801818848,0.0004325342911073935,100,3,sigmoid,0.001,"{'C': 100, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.5,0.47368421052631576,0.7894736842105263,0.6842105263157895,0.6118421052631579,0.13075399285757758,52,0.6949152542372882,0.5833333333333334,0.7833333333333333,0.6833333333333333,0.686228813559322,0.07088830240044737
43,0,80,0.0012475848197937012,0.0004341867567825996,0.0005004405975341797,0.0005004413074508364,1000,3,sigmoid,0.001,"{'C': 1000, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.5,0.3157894736842105,0.6842105263157895,0.5789473684210527,0.5197368421052632,0.13466769401617582,54,0.7288135593220338,0.6,0.8,0.65,0.6947033898305085,0.07618727729032934
46,0,80,0.001999199390411377,0.0012241207925329563,0.0009993314743041992,3.95372484964776e-07,1000,4,sigmoid,0.001,"{'C': 1000, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.5,0.3157894736842105,0.6842105263157895,0.5789473684210527,0.5197368421052632,0.13466769401617582,54,0.7288135593220338,0.6,0.8,0.65,0.6947033898305085,0.07618727729032934
14,0,80,0.0012490153312683105,0.00043239647585800733,0.0007493495941162109,0.0004326373979113877,1,,rbf,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.2,0.10526315789473684,0.3684210526315789,0.6842105263157895,0.3394736842105263,0.22022086621593676,56,0.5932203389830508,0.5166666666666667,0.55,0.7333333333333333,0.5983050847457627,0.08254800887188429
34,0,80,0.0012491941452026367,0.00043256839721699257,0.0007497668266296387,0.0004328781120128417,10,4,sigmoid,0.001,"{'C': 10, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.15,0.15789473684210525,0.10526315789473684,0.5789473684210527,0.24802631578947368,0.19210864272441855,57,0.5084745762711864,0.3333333333333333,0.3333333333333333,0.6333333333333333,0.45211864406779656,0.12672278286942337
31,0,80,0.001999378204345703,0.0007069718952303789,0.000249326229095459,0.0004318456964528926,10,3,sigmoid,0.001,"{'C': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.15,0.15789473684210525,0.10526315789473684,0.5789473684210527,0.24802631578947368,0.19210864272441855,57,0.5084745762711864,0.3333333333333333,0.3333333333333333,0.6333333333333333,0.45211864406779656,0.12672278286942337
